update,total_steps,FPS,mean_reward,median_reward,min_reward,max_reward
307,2448080,101,-0.5100000000000001,-0.6295,-0.966,0.003
308,2456080,101,-0.4594,-0.498,-0.982,0.003
309,2464080,101,-0.5280666666666667,-0.5825,-0.982,0.003
310,2472080,101,-0.5725666666666667,-0.5974999999999999,-0.983,0.001
311,2480080,101,-0.6044,-0.73,-0.986,0.002
312,2488080,101,-0.6293333333333334,-0.742,-0.986,0.004
313,2496080,101,-0.5880666666666665,-0.7350000000000001,-0.969,0.001
314,2504080,101,-0.5689333333333333,-0.6415,-0.969,0.001
315,2512080,101,-0.5337333333333334,-0.6755,-0.98,0.002
316,2520080,101,-0.6890999999999999,-0.8140000000000001,-0.994,0.001
317,2528080,101,-0.6058666666666668,-0.705,-0.994,0.002
318,2536080,101,-0.5512333333333335,-0.6765000000000001,-0.991,0.002
319,2544080,101,-0.7388333333333333,-0.8434999999999999,-0.991,0.002
320,2552080,101,-0.6542,-0.8075,-0.99,0.003
321,2560080,101,-0.5795333333333333,-0.589,-0.986,0.004
322,2568080,101,-0.6433333333333333,-0.7585,-0.96,0.001
323,2576080,101,-0.6108666666666667,-0.727,-0.969,0.002
324,2584080,101,-0.5314333333333334,-0.594,-0.969,0.003
325,2592080,101,-0.49176666666666674,-0.604,-0.978,0.015
326,2600080,101,-0.5737000000000001,-0.699,-0.954,0.015
327,2608080,101,-0.6011333333333334,-0.6225,-0.975,0.002
328,2616080,101,-0.5986666666666667,-0.741,-0.981,0.003
329,2624080,102,-0.7037,-0.8534999999999999,-0.989,0.003
330,2632080,102,-0.6833333333333333,-0.8165,-0.98,0.003
331,2640080,102,-0.689,-0.787,-0.986,0.001
332,2648080,102,-0.5691666666666666,-0.6445000000000001,-0.962,0.002
333,2656080,102,-0.6538666666666667,-0.752,-0.992,0.003
334,2664080,102,-0.6910333333333333,-0.7675000000000001,-0.992,0.002
335,2672080,102,-0.6030333333333334,-0.753,-0.995,0.002
336,2680080,102,-0.6339666666666665,-0.774,-0.995,0.002
337,2688080,102,-0.5527333333333334,-0.655,-0.97,0.002
338,2696080,102,-0.5715,-0.6799999999999999,-0.988,0.002
339,2704080,102,-0.6466,-0.75,-0.988,0.002
340,2712080,102,-0.5380333333333334,-0.5405,-0.986,0.002
341,2720080,102,-0.5122333333333333,-0.5740000000000001,-0.992,0.002
342,2728080,102,-0.5718,-0.646,-0.992,0.002
343,2736080,102,-0.6726666666666666,-0.743,-0.982,0.001
344,2744080,102,-0.6308666666666666,-0.717,-0.966,0.001
345,2752080,102,-0.5452,-0.6245,-0.938,0.003
346,2760080,102,-0.5427,-0.6415,-0.942,0.003
347,2768080,102,-0.5640333333333333,-0.7364999999999999,-0.982,0.003
348,2776080,102,-0.5641,-0.608,-0.986,0.003
349,2784080,102,-0.5808,-0.6114999999999999,-0.986,0.002
350,2792080,102,-0.5759333333333333,-0.7110000000000001,-0.984,0.002
351,2800080,102,-0.5516666666666666,-0.596,-0.99,0.001
352,2808080,102,-0.5993999999999999,-0.6515,-0.976,0.001
353,2816080,102,-0.6491666666666666,-0.8255,-0.983,0.002
354,2824080,102,-0.6189666666666667,-0.7495,-0.977,0.002
355,2832080,102,-0.6647,-0.747,-0.986,0.002
356,2840080,102,-0.7354,-0.8505,-0.984,0.003
357,2848080,102,-0.6399000000000001,-0.79,-0.974,0.002
358,2856080,102,-0.6023999999999998,-0.711,-0.972,0.003
359,2864080,102,-0.4729,-0.577,-0.99,0.003
360,2872080,102,-0.5029666666666667,-0.618,-0.99,0.004
361,2880080,102,-0.5539333333333333,-0.6984999999999999,-0.984,0.004
362,2888080,102,-0.553,-0.659,-0.984,0.002
363,2896080,102,-0.49396666666666655,-0.599,-0.966,0.002
364,2904080,102,-0.5266333333333333,-0.6475,-0.976,0.002
365,2912080,102,-0.5831666666666667,-0.6825000000000001,-0.982,0.002
366,2920080,102,-0.5434,-0.6605000000000001,-0.982,0.002
367,2928080,102,-0.4634,-0.5515,-0.961,0.003
368,2936080,102,-0.6072,-0.764,-0.982,0.003
369,2944080,102,-0.5523666666666666,-0.697,-0.982,0.002
370,2952080,102,-0.5584,-0.6485000000000001,-0.982,0.001
371,2960080,102,-0.5890666666666667,-0.6335,-0.973,0.001
372,2968080,102,-0.5609666666666667,-0.6165,-0.973,0.002
373,2976080,102,-0.4754000000000001,-0.4765,-0.98,0.002
374,2984080,102,-0.5283,-0.606,-0.986,0.003
375,2992080,102,-0.5068,-0.5195000000000001,-0.986,0.003
376,3000080,102,-0.6403,-0.7615000000000001,-0.972,0.003
377,3008080,102,-0.6207,-0.6955,-0.986,0.003
378,3016080,102,-0.5990666666666666,-0.662,-0.986,0.003
379,3024080,102,-0.4668666666666666,-0.472,-0.96,0.003
380,3032080,102,-0.5938666666666668,-0.738,-0.982,0.001
381,3040080,102,-0.6126333333333334,-0.789,-0.992,0.004
382,3048080,102,-0.6793999999999999,-0.811,-0.982,0.001
383,3056080,102,-0.6547999999999999,-0.75,-0.982,0.001
384,3064080,102,-0.6148666666666667,-0.782,-0.986,0.003
385,3072080,102,-0.5561333333333333,-0.698,-0.986,0.003
386,3080080,102,-0.5677666666666668,-0.6875,-0.982,0.003
387,3088080,102,-0.5519333333333333,-0.7404999999999999,-0.982,0.002
388,3096080,102,-0.5475333333333334,-0.6995,-0.948,0.003
389,3104080,102,-0.5262666666666667,-0.65,-0.946,0.003
390,3112080,102,-0.5213666666666666,-0.6745000000000001,-0.963,0.003
391,3120080,102,-0.5790333333333333,-0.7595000000000001,-0.963,0.003
392,3128080,102,-0.5341,-0.704,-0.982,0.001
393,3136080,102,-0.5291,-0.6815,-0.974,0.002
394,3144080,102,-0.5059333333333333,-0.569,-0.958,0.002
395,3152080,102,-0.5038333333333334,-0.615,-0.958,0.354
396,3160080,102,-0.5159333333333334,-0.649,-0.919,0.354
397,3168080,102,-0.6309000000000001,-0.717,-0.986,0.001
398,3176080,102,-0.6217666666666666,-0.766,-0.978,0.001
399,3184080,102,-0.6739333333333332,-0.776,-0.98,0.001
400,3192080,102,-0.6371999999999999,-0.7645,-0.98,0.001
401,3200080,102,-0.6011666666666666,-0.6915,-0.971,0.002
402,3208080,102,-0.5522666666666667,-0.647,-0.974,0.002
403,3216080,102,-0.5948666666666665,-0.746,-0.98,0.002
404,3224080,102,-0.6007333333333332,-0.7155,-0.986,0.003
405,3232080,102,-0.6469,-0.734,-0.984,0.001
406,3240080,102,-0.5623666666666666,-0.727,-0.954,0.001
407,3248080,102,-0.5834666666666666,-0.6625000000000001,-0.99,0.001
408,3256080,102,-0.4343666666666667,-0.44999999999999996,-0.99,0.002
409,3264080,102,-0.4420333333333334,-0.47150000000000003,-0.982,0.002
410,3272080,102,-0.5729333333333333,-0.6735,-0.982,0.001
411,3280080,102,-0.5840666666666666,-0.7444999999999999,-0.96,0.641
412,3288080,102,-0.5495333333333333,-0.7665,-0.988,0.641
413,3296080,102,-0.6103000000000001,-0.788,-0.985,0.002
414,3304080,102,-0.6887666666666667,-0.798,-0.985,0.001
415,3312080,102,-0.6561666666666669,-0.7815000000000001,-0.954,0.002
416,3320080,102,-0.5334333333333333,-0.724,-0.986,0.002
417,3328080,102,-0.5870333333333334,-0.757,-0.986,0.002
418,3336080,102,-0.6339333333333333,-0.7805,-0.962,0.002
419,3344080,102,-0.5911333333333333,-0.704,-0.985,0.001
420,3352080,102,-0.6041333333333333,-0.704,-0.96,0.002
421,3360080,103,-0.6269000000000001,-0.726,-0.988,0.002
422,3368080,103,-0.5308,-0.604,-0.988,0.003
423,3376080,103,-0.6890999999999998,-0.8180000000000001,-0.991,0.001
424,3384080,103,-0.6164666666666666,-0.79,-0.981,0.002
425,3392080,103,-0.5844666666666668,-0.6935,-0.982,0.003
426,3400080,103,-0.6420666666666667,-0.779,-0.982,0.002
427,3408080,103,-0.6668999999999999,-0.775,-0.968,0.001
428,3416080,103,-0.5956333333333335,-0.738,-0.97,0.002
429,3424080,103,-0.6231666666666666,-0.839,-0.966,0.002
430,3432080,103,-0.6315333333333332,-0.7949999999999999,-0.982,0.002
431,3440080,103,-0.5146000000000001,-0.6910000000000001,-0.986,0.002
432,3448080,103,-0.6331333333333333,-0.683,-0.992,0.002
433,3456080,103,-0.6148333333333333,-0.775,-0.992,0.003
434,3464080,103,-0.5237999999999999,-0.688,-0.974,0.003
435,3472080,103,-0.4698333333333334,-0.4995,-0.982,0.003
436,3480080,103,-0.6096333333333334,-0.6695,-0.976,0.001
437,3488080,103,-0.6513000000000001,-0.752,-0.98,0.002
438,3496080,103,-0.6095666666666667,-0.771,-0.98,0.003
439,3504080,103,-0.6327666666666665,-0.7364999999999999,-0.96,0.002
440,3512080,103,-0.6782666666666668,-0.7995,-0.983,0.002
441,3520080,103,-0.6341000000000001,-0.757,-0.986,0.002
442,3528080,103,-0.6848666666666667,-0.768,-0.984,0.002
443,3536080,103,-0.6451666666666666,-0.74,-0.941,0.002
444,3544080,103,-0.6970666666666666,-0.7615000000000001,-0.973,0.001
445,3552080,103,-0.5572,-0.652,-0.973,0.001
446,3560080,103,-0.6162333333333333,-0.7215,-0.986,0.001
447,3568080,103,-0.5973333333333334,-0.725,-0.986,0.001
448,3576080,103,-0.4805999999999999,-0.5715,-0.974,0.178
449,3584080,103,-0.5799333333333333,-0.739,-0.982,0.178
450,3592080,103,-0.6591333333333333,-0.78,-0.982,0.001
451,3600080,103,-0.5776333333333332,-0.737,-0.982,0.002
452,3608080,103,-0.5657666666666668,-0.6905,-0.982,0.002
453,3616080,103,-0.5268000000000002,-0.6835,-0.976,0.003
454,3624080,103,-0.5856999999999999,-0.729,-0.982,0.001
455,3632080,103,-0.66,-0.829,-0.984,0.002
456,3640080,103,-0.5794999999999998,-0.6699999999999999,-0.986,0.002
457,3648080,103,-0.5097666666666667,-0.497,-0.986,0.002
458,3656080,103,-0.5020666666666667,-0.609,-0.986,0.002
459,3664080,103,-0.6031000000000001,-0.7515000000000001,-0.98,0.002
460,3672080,103,-0.6111666666666667,-0.7275,-0.993,0.001
461,3680080,103,-0.5846333333333333,-0.734,-0.952,0.002
462,3688080,103,-0.5860666666666667,-0.7115,-0.986,0.002
463,3696080,103,-0.6026000000000001,-0.7195,-0.984,0.002
464,3704080,103,-0.5891333333333333,-0.6905,-0.979,0.003
465,3712080,103,-0.5473333333333333,-0.6165,-0.984,0.003
466,3720080,103,-0.5671666666666667,-0.7035,-0.929,0.002
467,3728080,103,-0.6073666666666665,-0.6875,-0.885,0.001
468,3736080,103,-0.5373666666666665,-0.5685,-0.98,0.003
469,3744080,103,-0.4409666666666666,-0.46950000000000003,-0.98,0.003
470,3752080,103,-0.5153666666666666,-0.672,-0.986,0.002
471,3760080,103,-0.5369333333333334,-0.6965,-0.966,0.002
472,3768080,103,-0.5991333333333333,-0.7025,-0.986,0.002
473,3776080,103,-0.5987000000000001,-0.696,-0.956,0.002
474,3784080,103,-0.6389999999999999,-0.751,-0.98,0.001
475,3792080,103,-0.5828666666666666,-0.7375,-0.98,0.002
476,3800080,103,-0.4346666666666667,-0.58,-0.986,0.003
477,3808080,103,-0.6353333333333332,-0.754,-0.982,0.002
478,3816080,103,-0.6704333333333334,-0.7695000000000001,-0.954,0.002
479,3824080,103,-0.5567666666666665,-0.6134999999999999,-0.969,0.002
480,3832080,103,-0.43100000000000005,-0.4555,-0.969,0.002
481,3840080,103,-0.5513333333333333,-0.6395,-0.986,0.002
482,3848080,103,-0.6123666666666667,-0.661,-0.99,0.001
483,3856080,103,-0.5709000000000001,-0.65,-0.99,0.001
484,3864080,103,-0.6117000000000001,-0.76,-0.986,0.001
485,3872080,103,-0.5743666666666667,-0.6930000000000001,-0.986,0.002
486,3880080,103,-0.6036,-0.694,-0.99,0.002
487,3888080,103,-0.5483999999999999,-0.623,-0.982,0.002
488,3896080,103,-0.5398333333333334,-0.602,-0.976,0.002
489,3904080,103,-0.5857666666666667,-0.719,-0.984,0.003
490,3912080,103,-0.6243333333333332,-0.7775000000000001,-0.976,0.004
491,3920080,103,-0.5642666666666666,-0.679,-0.976,0.004
492,3928080,103,-0.5929,-0.679,-0.972,0.002
493,3936080,103,-0.5344,-0.608,-0.986,0.002
494,3944080,103,-0.5188,-0.558,-0.986,0.002
495,3952080,103,-0.6234666666666667,-0.8185,-0.992,0.002
496,3960080,103,-0.6804333333333332,-0.764,-0.992,-0.146
497,3968080,103,-0.6457666666666666,-0.8085,-0.946,0.001
498,3976080,103,-0.5899666666666666,-0.768,-0.946,0.001
499,3984080,103,-0.6050333333333332,-0.827,-0.99,0.002
500,3992080,103,-0.7088,-0.812,-0.99,0.0
501,4000080,103,-0.5569000000000001,-0.644,-0.982,0.001
502,4008080,103,-0.46856666666666663,-0.5075000000000001,-0.982,0.002
503,4016080,103,-0.48306666666666664,-0.6094999999999999,-0.962,0.002
504,4024080,103,-0.5191666666666666,-0.626,-0.97,0.002
505,4032080,103,-0.5465333333333333,-0.67,-0.97,0.002
506,4040080,103,-0.4929666666666668,-0.582,-0.974,0.002
507,4048080,103,-0.5628333333333333,-0.693,-0.955,0.002
508,4056080,103,-0.6984333333333332,-0.781,-0.984,0.002
509,4064080,103,-0.6988666666666669,-0.7855000000000001,-0.974,0.002
510,4072080,103,-0.5833333333333334,-0.7495,-0.974,0.002
511,4080080,103,-0.5338333333333334,-0.6679999999999999,-0.954,0.002
512,4088080,103,-0.5689999999999997,-0.622,-0.988,0.002
513,4096080,103,-0.5715666666666668,-0.642,-0.974,0.003
514,4104080,103,-0.6294666666666665,-0.719,-0.974,0.003
515,4112080,103,-0.5782666666666666,-0.7,-0.977,0.003
516,4120080,103,-0.5328666666666667,-0.6365000000000001,-0.975,0.003
517,4128080,103,-0.6459333333333334,-0.849,-0.986,0.001
518,4136080,103,-0.6032666666666666,-0.753,-0.954,0.003
519,4144080,103,-0.5476333333333333,-0.676,-0.919,0.003
520,4152080,103,-0.5185666666666665,-0.6565000000000001,-0.919,0.003
521,4160080,103,-0.48366666666666663,-0.636,-0.982,0.002
522,4168080,103,-0.5410666666666667,-0.6890000000000001,-0.982,0.002
523,4176080,103,-0.4839333333333332,-0.4325,-0.938,0.002
524,4184080,103,-0.4392666666666667,-0.3745,-0.944,0.002
525,4192080,103,-0.6137666666666668,-0.748,-0.964,0.002
526,4200080,103,-0.6233,-0.7555000000000001,-0.978,0.001
527,4208080,103,-0.6938666666666667,-0.766,-0.978,0.001
528,4216080,103,-0.6855666666666665,-0.7475,-0.968,0.001
529,4224080,103,-0.6728000000000001,-0.7315,-0.986,0.003
530,4232080,103,-0.7088666666666666,-0.752,-0.986,0.003
531,4240080,103,-0.5879333333333333,-0.714,-0.978,0.002
532,4248080,103,-0.6458666666666667,-0.7555000000000001,-0.986,0.003
533,4256080,103,-0.5402,-0.657,-0.986,0.003
534,4264080,103,-0.4578999999999999,-0.49050000000000005,-0.992,0.003
535,4272080,103,-0.5028,-0.547,-0.992,0.131
536,4280080,103,-0.4522000000000001,-0.423,-0.986,0.131
537,4288080,103,-0.5218666666666667,-0.5985,-0.994,0.003
538,4296080,103,-0.5034333333333334,-0.5755,-0.986,0.002
539,4304080,103,-0.4873,-0.5445,-0.984,0.003
540,4312080,103,-0.5041666666666665,-0.572,-0.976,0.003
541,4320080,103,-0.6608666666666666,-0.733,-0.977,0.002
542,4328080,103,-0.6371,-0.789,-0.986,0.001
543,4336080,103,-0.5600999999999999,-0.6635,-0.986,0.001
544,4344080,103,-0.5851333333333333,-0.6645000000000001,-0.956,0.001
545,4352080,103,-0.5602,-0.6735,-0.958,0.003
546,4360080,103,-0.5936,-0.7344999999999999,-0.974,0.003
547,4368080,103,-0.5952999999999999,-0.7745,-0.99,0.002
548,4376080,103,-0.5871666666666666,-0.6925,-0.99,0.003
549,4384080,103,-0.6194333333333334,-0.6815,-0.97,0.003
550,4392080,103,-0.5527666666666667,-0.6225,-0.96,0.002
551,4400080,103,-0.5277666666666667,-0.599,-0.95,0.003
552,4408080,103,-0.4603000000000001,-0.5315000000000001,-0.973,0.003
553,4416080,103,-0.4243333333333333,-0.48350000000000004,-0.973,0.036
554,4424080,103,-0.5123333333333332,-0.6255,-0.986,0.036
555,4432080,103,-0.6279999999999999,-0.735,-0.986,0.002
556,4440080,103,-0.6353333333333333,-0.748,-0.984,0.002
557,4448080,103,-0.4982666666666667,-0.7164999999999999,-0.97,0.57
558,4456080,103,-0.45283333333333325,-0.5814999999999999,-0.942,0.57
559,4464080,103,-0.5044,-0.5615,-0.942,0.003
560,4472080,103,-0.5866333333333333,-0.713,-0.972,0.002
561,4480080,103,-0.5836,-0.6930000000000001,-0.99,0.002
562,4488080,103,-0.6191666666666668,-0.687,-0.982,0.003
563,4496080,103,-0.6487999999999999,-0.7124999999999999,-0.986,0.003
564,4504080,103,-0.5951000000000001,-0.692,-0.982,0.004
565,4512080,103,-0.6123666666666665,-0.73,-0.982,0.001
566,4520080,103,-0.5003333333333334,-0.623,-0.922,0.002
567,4528080,103,-0.5210333333333333,-0.6325000000000001,-0.97,0.002
568,4536080,103,-0.5343666666666667,-0.606,-0.934,0.002
569,4544080,103,-0.5757999999999999,-0.7055,-0.96,0.002
570,4552080,103,-0.6221,-0.7555000000000001,-0.96,0.001
571,4560080,103,-0.5508666666666666,-0.556,-0.958,0.001
572,4568080,103,-0.6113333333333333,-0.6825000000000001,-0.969,0.003
573,4576080,103,-0.6415666666666667,-0.7275,-0.988,0.003
574,4584080,103,-0.6580000000000001,-0.7095,-0.974,0.001
575,4592080,103,-0.6087666666666667,-0.6765,-0.99,0.002
576,4600080,103,-0.5531666666666666,-0.664,-0.981,0.002
577,4608080,103,-0.5277999999999999,-0.679,-0.988,0.002
578,4616080,103,-0.6213333333333332,-0.735,-0.988,0.002
579,4624080,103,-0.5523333333333332,-0.713,-0.976,0.002
580,4632080,103,-0.4696666666666667,-0.627,-0.96,0.003
581,4640080,103,-0.4626333333333334,-0.534,-0.98,0.003
582,4648080,103,-0.5613333333333334,-0.7224999999999999,-0.98,0.003
583,4656080,103,-0.7121666666666665,-0.8514999999999999,-0.978,0.001
584,4664080,103,-0.6554333333333333,-0.778,-0.99,0.002
585,4672080,103,-0.6162333333333334,-0.7625,-0.99,0.001
586,4680080,103,-0.5676333333333333,-0.7335,-0.986,0.003
587,4688080,104,-0.5991333333333333,-0.708,-0.938,0.001
588,4696080,104,-0.5491999999999998,-0.634,-0.962,0.002
589,4704080,104,-0.48286666666666667,-0.532,-0.962,0.003
590,4712080,104,-0.5138666666666667,-0.669,-0.99,0.003
591,4720080,104,-0.5359333333333333,-0.608,-0.99,0.002
592,4728080,104,-0.5326000000000001,-0.6315,-0.981,0.003
593,4736080,104,-0.6297333333333334,-0.7535000000000001,-0.974,0.002
594,4744080,104,-0.6225666666666665,-0.7315,-0.976,0.001
595,4752080,104,-0.6789666666666668,-0.753,-0.992,0.001
596,4760080,104,-0.6413666666666669,-0.711,-0.992,0.003
597,4768080,104,-0.5232333333333333,-0.636,-0.99,0.003
598,4776080,104,-0.6866666666666666,-0.758,-0.99,0.001
599,4784080,104,-0.6025999999999999,-0.71,-0.957,0.002
600,4792080,104,-0.5420666666666667,-0.671,-0.957,0.002
601,4800080,104,-0.5303,-0.7235,-0.978,0.002
602,4808080,104,-0.4077333333333334,-0.45199999999999996,-0.978,0.002
603,4816080,104,-0.6740333333333333,-0.7825,-0.99,0.002
